Date,borough_NM,borough_CD,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
31/10/2020,City of London,E09000001,-63,-37,-71,-58,NA,NA
31/10/2020,Westminster,E09000033,-63,-37,-63,-60,-21,9
31/10/2020,Barking and Dagenham,E09000002,-26,-9,-2,-27,-16,6
31/10/2020,Barnet,E09000003,-29,-8,-11,-39,-18,8
31/10/2020,Bexley,E09000004,-36,-6,-14,-42,-9,7
31/10/2020,Brent,E09000005,-30,-10,14,-35,-19,8
31/10/2020,Bromley,E09000006,-33,-3,-16,-40,-2,8
31/10/2020,Camden,E09000007,-58,-34,-29,-59,-15,9
31/10/2020,Croydon,E09000008,-35,-5,11,-42,-10,7
31/10/2020,Ealing,E09000009,-29,-9,-1,-40,-17,8
31/10/2020,Enfield,E09000010,-27,-8,-12,-36,-12,8
31/10/2020,Hackney,E09000012,-45,-12,-4,-42,-17,7
31/10/2020,Hammersmith and Fulham,E09000013,-50,-22,-10,-47,-22,9
31/10/2020,Haringey,E09000014,-34,-17,-23,-42,-23,8
31/10/2020,Harrow,E09000015,-34,-6,17,-35,-9,8
31/10/2020,Havering,E09000016,-32,-7,-16,-32,-10,7
31/10/2020,Hillingdon,E09000017,-34,-8,16,-60,-10,8
31/10/2020,Hounslow,E09000018,-31,-5,-19,-34,-16,8
31/10/2020,Islington,E09000019,-54,-11,-8,-44,-15,8
31/10/2020,Lambeth,E09000022,-42,-11,-20,-40,-10,8
31/10/2020,Lewisham,E09000023,-29,-5,4,-37,-16,8
31/10/2020,Merton,E09000024,-36,-12,-3,-43,-16,8
31/10/2020,Newham,E09000025,-42,-13,39,-41,-20,7
31/10/2020,Redbridge,E09000026,-31,-12,-39,-40,-15,8
31/10/2020,Richmond upon Thames,E09000027,-37,-6,-21,-46,-15,9
31/10/2020,Southwark,E09000028,-45,-17,-25,-46,-14,7
