LSOA Code,Major Category,April_c,Aug_c,March_c,May_c,Nov_c
E01000006,Arson and Criminal Damage,-2,0,0,1,0
E01000006,Burglary,0,-2,-1,-3,3
E01000006,Drug Offences,1,6,-2,2,0
E01000006,Miscellaneous Crimes Against Society,-1,0,0,0,-1
E01000006,Public Order Offences,2,0,-1,0,1
E01000006,Robbery,-3,0,0,-1,-2
E01000006,Theft,-2,1,0,1,-1
E01000006,Vehicle Offences,0,0,0,0,-2
E01000006,Violence Against the Person,-4,1,-2,0,-2
E01000007,Arson and Criminal Damage,1,3,0,-1,1
E01000007,Burglary,-2,-1,-2,0,-3
E01000007,Drug Offences,10,-4,3,3,4
E01000007,Miscellaneous Crimes Against Society,1,-1,1,-1,-1
E01000007,Possession of Weapons,1,0,-2,1,1
E01000007,Public Order Offences,1,5,-1,1,3
E01000007,Robbery,-5,-2,-3,-1,2
E01000007,Theft,-14,-5,-3,-7,-9
E01000007,Vehicle Offences,3,-6,0,-3,4
E01000007,Violence Against the Person,-6,5,12,0,16
E01000008,Arson and Criminal Damage,0,1,2,1,3
E01000008,Burglary,-3,-2,-2,-1,-1
E01000008,Drug Offences,1,1,-1,7,1
E01000008,Miscellaneous Crimes Against Society,1,2,-1,-1,0
E01000008,Possession of Weapons,1,0,0,0,0
E01000008,Public Order Offences,-1,-1,-2,-1,0
E01000008,Robbery,0,0,0,0,0
E01000008,Theft,-3,2,-2,-5,-3
E01000008,Vehicle Offences,-1,-4,6,0,1
E01000008,Violence Against the Person,1,-2,-5,-4,0
E01000009,Arson and Criminal Damage,1,-1,0,-1,0
E01000009,Burglary,-1,-1,0,1,0
E01000009,Drug Offences,2,-2,3,3,5
E01000009,Miscellaneous Crimes Against Society,0,0,-1,-1,1
E01000009,Possession of Weapons,0,0,1,1,0
E01000009,Public Order Offences,0,5,1,1,-1
E01000009,Robbery,0,1,-1,-2,-1
E01000009,Theft,-3,0,4,-6,-2
E01000009,Vehicle Offences,0,-2,1,0,-1
E01000009,Violence Against the Person,5,-2,-2,0,6
E01000010,Arson and Criminal Damage,-4,-2,0,0,-1
E01000010,Burglary,1,-3,5,-6,-10
E01000010,Drug Offences,0,7,-3,-3,9
E01000010,Miscellaneous Crimes Against Society,-1,-2,1,-1,2
E01000010,Possession of Weapons,-3,2,-3,0,-2
E01000010,Public Order Offences,-8,2,-5,1,6
E01000010,Robbery,-12,-1,12,0,-3
